roi_id;roi_name
1;networks.DefaultMode.MPFC (1,55,-3)
2;networks.DefaultMode.LP (L) (-39,-77,33)
3;networks.DefaultMode.LP (R) (47,-67,29)
4;networks.DefaultMode.PCC (1,-61,38)
5;networks.SensoriMotor.Lateral (L) (-55,-12,29)
6;networks.SensoriMotor.Lateral (R) (56,-10,29)
7;networks.SensoriMotor.Superior  (0,-31,67)
8;networks.Visual.Medial (2,-79,12)
9;networks.Visual.Occipital (0,-93,-4)
10;networks.Visual.Lateral (L) (-37,-79,10)
11;networks.Visual.Lateral (R) (38,-72,13)
12;networks.Salience.ACC (0,22,35)
13;networks.Salience.AInsula (L) (-44,13,1)
14;networks.Salience.AInsula (R) (47,14,0)
15;networks.Salience.RPFC (L) (-32,45,27)
16;networks.Salience.RPFC (R) (32,46,27)
17;networks.Salience.SMG (L) (-60,-39,31)
18;networks.Salience.SMG (R) (62,-35,32)
19;networks.DorsalAttention.FEF (L)  (-27,-9,64)
20;networks.DorsalAttention.FEF (R)  (30,-6,64)
21;networks.DorsalAttention.IPS (L)  (-39,-43,52)
22;networks.DorsalAttention.IPS (R)  (39,-42,54)
23;networks.FrontoParietal.LPFC (L)  (-43,33,28)
24;networks.FrontoParietal.PPC (L)  (-46,-58,49)
25;networks.FrontoParietal.LPFC (R)  (41,38,30)
26;networks.FrontoParietal.PPC (R)  (52,-52,45)
27;networks.Language.IFG (L) (-51,26,2)
28;networks.Language.IFG (R) (54,28,1)
29;networks.Language.pSTG (L) (-57,-47,15)
30;networks.Language.pSTG (R) (59,-42,13)
31;networks.Cerebellar.Anterior (0,-63,-30)
32;networks.Cerebellar.Posterior (0,-79,-32)
33;atlas.FP r (Frontal Pole Right)(30,58,-4)
34;atlas.FP l (Frontal Pole Left)(-30,58,-4)
35;atlas.IC r (Insular Cortex Right)(36,10,-2)
36;atlas.IC l (Insular Cortex Left)(-36,10,-2)
37;atlas.SFG r (Superior Frontal Gyrus Right)(18,42,48)
38;atlas.SFG l (Superior Frontal Gyrus Left)(-18,42,48)
39;atlas.MidFG r (Middle Frontal Gyrus Right)(38,36,38)
40;atlas.MidFG l (Middle Frontal Gyrus Left)(-38,36,38)
41;atlas.IFG tri r (Inferior Frontal Gyrus, pars triangularis Right (48,30,18)
42;atlas.IFG tri l (Inferior Frontal Gyrus, pars triangularis Left)(-48,30,18)
43;atlas.IFG oper r (Inferior Frontal Gyrus, pars opercularis Right)(50,14,22)
44;atlas.IFG oper l (Inferior Frontal Gyrus, pars opercularis Left)(-50,14,22)
45;atlas.PreCG r (Precentral Gyrus Right)(44,-10,50)
46;atlas.PreCG l (Precentral Gyrus Left)(-44,-10,50)
47;atlas.TP r (Temporal Pole Right)(38,12,-36)
48;atlas.TP l (Temporal Pole Left)(-38,12,-36)
49;atlas.aSTG r (Superior Temporal Gyrus, anterior division Right)(52,-12,-8)
50;atlas.aSTG l (Superior Temporal Gyrus, anterior division Left)(-52,-12,-8)
51;atlas.pSTG r (Superior Temporal Gyrus, posterior division Right)(60,-38,10)
52;atlas.pSTG l (Superior Temporal Gyrus, posterior division Left)(-60,-38,10)
53;atlas.aMTG r (Middle Temporal Gyrus, anterior division Right)(56,-10,-18)
54;atlas.aMTG l (Middle Temporal Gyrus, anterior division Left)(-56,-10,-18)
55;atlas.pMTG r (Middle Temporal Gyrus, posterior division Right)(52,-46,4)
56;atlas.pMTG l (Middle Temporal Gyrus, posterior division Left)(-52,-46,4)
57;atlas.toMTG r (Middle Temporal Gyrus, temporooccipital part Right)(48,-68,-2)
58;atlas.toMTG l (Middle Temporal Gyrus, temporooccipital part Left)(-48,-68,-2)
59;atlas.aITG r (Inferior Temporal Gyrus, anterior division Right)(44,-14,-32)
60;atlas.aITG l (Inferior Temporal Gyrus, anterior division Left)(-44,-14,-32)
61;atlas.pITG r (Inferior Temporal Gyrus, posterior division Right)(48,-56,-10)
62;atlas.pITG l (Inferior Temporal Gyrus, posterior division Left)(-48,-56,-10)
63;atlas.toITG r (Inferior Temporal Gyrus, temporooccipital part Right)(48,-68,-16)
64;atlas.toITG l (Inferior Temporal Gyrus, temporooccipital part Left)(-48,-68,-16)
65;atlas.PostCG r (Postcentral Gyrus Right)(56,-26,36)
66;atlas.PostCG l (Postcentral Gyrus Left)(-56,-26,36)
67;atlas.SPL r (Superior Parietal Lobule Right)(26,-60,50)
68;atlas.SPL l (Superior Parietal Lobule Left)(-26,-60,50)
69;atlas.aSMG r (Supramarginal Gyrus, anterior division Right)(52,-38,34)
70;atlas.aSMG l (Supramarginal Gyrus, anterior division Left)(-52,-38,34)
71;atlas.pSMG r (Supramarginal Gyrus, posterior division Right)(54,-50,36)
72;atlas.pSMG l (Supramarginal Gyrus, posterior division Left)(-54,-50,36)
73;atlas.AG r (Angular Gyrus Right)(40,-64,36)
74;atlas.AG l (Angular Gyrus Left)(-40,-64,36)
75;atlas.sLOC r (Lateral Occipital Cortex, superior division Right)(40,-76,38)
76;atlas.sLOC l (Lateral Occipital Cortex, superior division Left)(-40,-76,38)
77;atlas.iLOC r (Lateral Occipital Cortex, inferior division Right)(42,-78,-6)
78;atlas.iLOC l (Lateral Occipital Cortex, inferior division Left)(-42,-78,-6)
79;atlas.ICC r (Intracalcarine Cortex Right(16,-80,6)
80;atlas.ICC l (Intracalcarine Cortex Left)(-16,-80,6)
81;atlas.MedFC (Frontal Medial Cortex)(0,48,32)
82;atlas.SMA r (Juxtapositional Lobule Cortex -formerly Supplementary Motor Cortex- Right)(8,-16,60)
83;atlas.SMA L(Juxtapositional Lobule Cortex -formerly Supplementary Motor Cortex- Left)(-8,-16,60)
84;atlas.SubCalC (Subcallosal Cortex)(0,20,-12)
85;atlas.PaCiG r (Paracingulate Gyrus Right)(12,26,38)
86;atlas.PaCiG l (Paracingulate Gyrus Left)(-12,26,38)
87;atlas.AC (Cingulate Gyrus, anterior division)(0,20,30)
88;atlas.PC (Cingulate Gyrus, posterior division)(0,-34,40)
89;atlas.Precuneous (Precuneous Cortex)(0,-58,42)
90;atlas.Cuneal r (Cuneal Cortex Right)(8,-88,16)
91;atlas.Cuneal l (Cuneal Cortex Left)(-8,-88,16)
92;atlas.FOrb r (Frontal Orbital Cortex Right)(26,46,-14)
93;atlas.FOrb l (Frontal Orbital Cortex Left)(-26,46,-14)
94;atlas.aPaHC r (Parahippocampal Gyrus, anterior division Right)(24,-12,-28)
95;atlas.aPaHC l (Parahippocampal Gyrus, anterior division Left)(-24,-12,-28)
96;atlas.pPaHC r (Parahippocampal Gyrus, posterior division Right)(22,-30,-18)
97;atlas.pPaHC l (Parahippocampal Gyrus, posterior division Left)(-22,-30,-18)
98;atlas.LG r (Lingual Gyrus Right)(16,-66,-4)
99;atlas.LG l (Lingual Gyrus Left)(-16,-66,-4)
100;atlas.aTFusC r (Temporal Fusiform Cortex, anterior division Right)(38,-18,-28)
101;atlas.aTFusC l (Temporal Fusiform Cortex, anterior division Left)(-38,-18,-28)
102;atlas.pTFusC r (Temporal Fusiform Cortex, posterior division Right)(36,-50,-20)
103;atlas.pTFusC l (Temporal Fusiform Cortex, posterior division Left)(-36,-50,-20)
104;atlas.TOFusC r (Temporal Occipital Fusiform Cortex Right)(36,-70,-12)
105;atlas.TOFusC l (Temporal Occipital Fusiform Cortex Left)(-36,-70,-12)
106;atlas.OFusG r (Occipital Fusiform Gyrus Right)(30,-76,-16)
107;atlas.OFusG l (Occipital Fusiform Gyrus Left)(-30,-76,-16)
108;atlas.FO r (Frontal Operculum Cortex Right)(30,20,0)
109;atlas.FO l (Frontal Operculum Cortex Left)(-30,20,0)
110;atlas.CO r (Central Opercular Cortex Right)(40,-4,24)
111;atlas.CO l (Central Opercular Cortex Left)(-40,-4,24)
112;atlas.PO r (Parietal Operculum Cortex Right)(54,-32,26)
113;atlas.PO l (Parietal Operculum Cortex Left)(-54,-32,26)
114;atlas.PP r (Planum Polare Right)(46,-2,-18)
115;atlas.PP l (Planum Polare Left)(-46,-2,-18)
116;atlas.HG r (Heschl's Gyrus Right)(46,-22,8)
117;atlas.HG l (Heschl's Gyrus Left)(-46,-22,8)
118;atlas.PT r (Planum Temporale Right)(54,-28,8)
119;atlas.PT l (Planum Temporale Left)(-54,-28,8)
120;atlas.SCC r (Supracalcarine Cortex Right)(12,-74,20)
121;atlas.SCC l (Supracalcarine Cortex Left)(-12,-74,20)
122;atlas.OP r (Occipital Pole Right)(8,-96,0)
123;atlas.OP l (Occipital Pole Left)(-8,-96,0)
124;atlas.Thalamus r(10,-18,8)
125;atlas.Thalamus l(-10,-18,8)
126;atlas.Caudate r(10,12,10)
127;atlas.Caudate l(-10,12,10)
128;atlas.Putamen r(24,0,0)
129;atlas.Putamen l(-24,0,0)
130;atlas.Pallidum r(20,-2,0)
131;atlas.Pallidum l(-20,-2,0)
132;atlas.Hippocampus r(26,-14,-18)
133;atlas.Hippocampus l(-26,-14,-18)
134;atlas.Amygdala r(20,-4,-20)
135;atlas.Amygdala l(-20,-4,-20)
136;atlas.Accumbens r(8,12,-10)
137;atlas.Accumbens l(-8,12,-10)
138;atlas.Brain-Stem(0,-26,-20)
139;atlas.Cereb1 l (Cerebelum Crus1 Left)(-38,-52,-30)
140;atlas.Cereb1 r (Cerebelum Crus1 Right)(38,-52,-30)
141;atlas.Cereb2 l (Cerebelum Crus2 Left)(-46,-66,-30)
142;atlas.Cereb2 r (Cerebelum Crus2 Right)(46,-66,-30)
143;atlas.Cereb3 l (Cerebelum 3 Left)(-12,-50,-18)
144;atlas.Cereb3 r (Cerebelum 3 Right)(12,-50,-18)
145;atlas.Cereb45 l (Cerebelum 4 5 Left)(-16,-58,-20)
146;atlas.Cereb45 r (Cerebelum 4 5 Right)(16,-58,-20)
147;atlas.Cereb6 l (Cerebelum 6 Left)(-26,-54,-28)
148;atlas.Cereb6 r (Cerebelum 6 Right)(26,-54,-28)
149;atlas.Cereb7 l (Cerebelum 7b Left)(-40,-76,-38)
150;atlas.Cereb7 r (Cerebelum 7b Right)(40,-76,-38)
151;atlas.Cereb8 l (Cerebelum 8 Left)(-30,-70,-40)
152;atlas.Cereb8 r (Cerebelum 8 Right)(30,-70,-40)
153;atlas.Cereb9 l (Cerebelum 9 Left)(-18,-76,-40)
154;atlas.Cereb9 r (Cerebelum 9 Right)(18,-76,-40)
155;atlas.Cereb10 l (Cerebelum 10 Left)(-8,-84,-40)
156;atlas.Cereb10 r (Cerebelum 10 Right)(8,-84,-40)
157;atlas.Ver12 (Vermis 1 2)(0,-50,-18)
158;atlas.Ver3 (Vermis 3)(0,-58,-18)
159;atlas.Ver45 (Vermis 4 5)(0,-66,-18)
160;atlas.Ver6 (Vermis 6)(0,-72,-18)
161;atlas.Ver7 (Vermis 7)(0,-76,-28)
162;atlas.Ver8 (Vermis 8)(0,-66,-40)
163;atlas.Ver9 (Vermis 9)(0,-78,-42)
164;atlas.Ver10 (Vermis 10)(0,-82,-42)